Name	En	Exp	Diff	Rec Combat	Stamina		SB Reward 5-1	SB#5-1	SB Reward 5-2	SB#5-2	SB Reward 5-3	SB#5-3	SB Reward 5-4	SB#5-4	SB Reward 5-5	SB#5-5	Reward1	Reward2	Reward3	Reward4	Reward5	Reward6	Reward7	Dungeon1	Dungeon2	Dungeon3	Dungeon4	Dungeon5	Dungeon6	Tower1	T#1	Tower2	T#2	Tower3	T#3	Tower4	T#4	Tower5	T#5	FDJP1	FDJP2	FDJP3	FDJP4	FDEN1	FDEN2	FDEN3	FDEN4	Fake News	Limited	Training Quest Name	Training Quest Name_EN	Quest Type	Score Battle ID
初級	Beginner	200		1000	10												Cole	Experience Candy I												Gems	30																	-100		経験値クエスト	Experience Quest	1	
中級	Intermediate	500		3500	10												Cole	Experience Candy I												Gems	30																	-100		経験値クエスト	Experience Quest	1	
上級	Advanced	1000		5000	10												Cole	Experience Candy I												Gems	30																	-100		経験値クエスト	Experience Quest	1	
超級	Super	1500		6900	10												Cole	Experience Candy II												Gems	30																	-100		経験値クエスト	Experience Quest	1	
初級	Beginner	10		1000	10												Cole	Strength Drop I	Strength Drop I											Gems	30																	-100		強化の雫クエスト	Strength Drop Quest	1	
中級	Intermediate	50		3500	10												Cole	Strength Drop II	Strength Drop II											Gems	30																	-100		強化の雫クエスト	Strength Drop Quest	1	
上級	Advanced	100		5000	10												Cole	Strength Drop II	Strength Drop II	Strength Drop III										Gems	30																	-100		強化の雫クエスト	Strength Drop Quest	1	
初級	Beginner	50		2900	0												Cole													Gems	30																	-100		ピースクエスト	Piece Quest	1	
中級	Intermediate	100		5000	0												Cole													Gems	30																	-100		ピースクエスト	Piece Quest	1	
上級	Advanced	300		8500	0												Cole													Gems	30																	-100		ピースクエスト	Piece Quest	1	
初級	Beginner	10		1000	10												Cole													Gems	30																	-100		コールクエスト	Cole Quest	1	
中級	Intermediate	50		3500	10												Cole													Gems	30																	-100		コールクエスト	Cole Quest	1	
上級	Advanced	100		5000	10												Cole													Gems	30																	-100		コールクエスト	Cole Quest	1	
初級	Beginner	10		1200	10												Cole	Red Glowing Orb I	Red Glowing Orb I											Gems	30																	-100		赤の光玉クエスト	Red Glowing Orb Quest	1	
中級	Intermediate	50		3500	10												Cole	Red Glowing Orb I	Red Glowing Orb II	Red Glowing Orb II										Gems	30																	-100		赤の光玉クエスト	Red Glowing Orb Quest	1	
上級	Advanced	100		5000	10												Cole	Red Glowing Orb I	Red Glowing Orb II	Red Glowing Orb II	Treasure Orb									Gems	30																	-100		赤の光玉クエスト	Red Glowing Orb Quest	1	
超級	Super	200		6900	10												Cole	Red Glowing Orb I	Red Glowing Orb II	Red Glowing Orb III	Red Glowing Orb III	Treasure Orb								Gems	30																	-100		赤の光玉クエスト	Red Glowing Orb Quest	1	
獄級	Hell	300		8500	10												Cole	Red Glowing Orb I	Red Glowing Orb II	Red Glowing Orb III	Red Glowing Orb III	Treasure Orb	Exceptional Treasure Orb							Gems	30																	-100		赤の光玉クエスト	Red Glowing Orb Quest	1	
初級	Beginner	10		1200	10												Cole	Blue Glowing Orb I	Blue Glowing Orb I											Gems	30																	-100		青の光玉クエスト	Blue Glowing Orb Quest	1	
中級	Intermediate	50		3500	10												Cole	Blue Glowing Orb I	Blue Glowing Orb II	Blue Glowing Orb II										Gems	30																	-100		青の光玉クエスト	Blue Glowing Orb Quest	1	
上級	Advanced	100		5000	10												Cole	Blue Glowing Orb I	Blue Glowing Orb II	Blue Glowing Orb II	Treasure Orb									Gems	30																	-100		青の光玉クエスト	Blue Glowing Orb Quest	1	
超級	Super	200		6900	10												Cole	Blue Glowing Orb I	Blue Glowing Orb II	Blue Glowing Orb III	Blue Glowing Orb III	Treasure Orb								Gems	30																	-100		青の光玉クエスト	Blue Glowing Orb Quest	1	
獄級	Hell	300		8500	10												Cole	Blue Glowing Orb I	Blue Glowing Orb II	Blue Glowing Orb III	Blue Glowing Orb III	Treasure Orb	Exceptional Treasure Orb							Gems	30																	-100		青の光玉クエスト	Blue Glowing Orb Quest	1	
初級	Beginner	10		1200	10												Cole	Yellow Glowing Orb I	Yellow Glowing Orb I											Gems	30																	-100		黄の光玉クエスト	Yellow Glowing Orb Quest	1	
中級	Intermediate	50		3500	10												Cole	Yellow Glowing Orb I	Yellow Glowing Orb II	Yellow Glowing Orb II										Gems	30																	-100		黄の光玉クエスト	Yellow Glowing Orb Quest	1	
上級	Advanced	100		5000	10												Cole	Yellow Glowing Orb I	Yellow Glowing Orb II	Yellow Glowing Orb II	Treasure Orb									Gems	30																	-100		黄の光玉クエスト	Yellow Glowing Orb Quest	1	
超級	Super	200		6900	10												Cole	Yellow Glowing Orb I	Yellow Glowing Orb II	Yellow Glowing Orb III	Yellow Glowing Orb III	Treasure Orb								Gems	30																	-100		黄の光玉クエスト	Yellow Glowing Orb Quest	1	
獄級	Hell	300		8500	10												Cole	Yellow Glowing Orb I	Yellow Glowing Orb II	Yellow Glowing Orb III	Yellow Glowing Orb III	Treasure Orb	Exceptional Treasure Orb							Gems	30																	-100		黄の光玉クエスト	Yellow Glowing Orb Quest	1	
初級	Beginner	10		1200	10												Cole	Green Glowing Orb I	Green Glowing Orb I											Gems	30																	-100		緑の光玉クエスト	Green Glowing Orb Quest	1	
中級	Intermediate	50		3500	10												Cole	Green Glowing Orb I	Green Glowing Orb II	Green Glowing Orb II										Gems	30																	-100		緑の光玉クエスト	Green Glowing Orb Quest	1	
上級	Advanced	100		5000	10												Cole	Green Glowing Orb I	Green Glowing Orb II	Green Glowing Orb II	Treasure Orb									Gems	30																	-100		緑の光玉クエスト	Green Glowing Orb Quest	1	
超級	Super	200		6900	10												Cole	Green Glowing Orb I	Green Glowing Orb II	Green Glowing Orb III	Green Glowing Orb III	Treasure Orb								Gems	30																	-100		緑の光玉クエスト	Green Glowing Orb Quest	1	
獄級	Hell	300		8500	10												Cole	Green Glowing Orb I	Green Glowing Orb II	Green Glowing Orb III	Green Glowing Orb III	Treasure Orb	Exceptional Treasure Orb							Gems	30																	-100		緑の光玉クエスト	Green Glowing Orb Quest	1	
初級	Beginner	10		1200	10												Cole	Purple Glowing Orb I	Purple Glowing Orb I											Gems	30																	-100		紫の光玉クエスト	Purple Glowing Orb Quest	1	
中級	Intermediate	50		3500	10												Cole	Purple Glowing Orb I	Purple Glowing Orb II	Purple Glowing Orb II										Gems	30																	-100		紫の光玉クエスト	Purple Glowing Orb Quest	1	
上級	Advanced	100		5000	10												Cole	Purple Glowing Orb I	Purple Glowing Orb II	Purple Glowing Orb II	Treasure Orb									Gems	30																	-100		紫の光玉クエスト	Purple Glowing Orb Quest	1	
超級	Super	200		6900	10												Cole	Purple Glowing Orb I	Purple Glowing Orb II	Purple Glowing Orb III	Purple Glowing Orb III	Treasure Orb								Gems	30																	-100		紫の光玉クエスト	Purple Glowing Orb Quest	1	
獄級	Hell	300		8500	10												Cole	Purple Glowing Orb I	Purple Glowing Orb II	Purple Glowing Orb III	Purple Glowing Orb III	Treasure Orb	Exceptional Treasure Orb							Gems	30																	-100		紫の光玉クエスト	Purple Glowing Orb Quest	1	
王都周辺にて	By the Royal Capital	65	Normal	2300	10		Cole	160	Uni	3	Taun	2					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-1
湿地の前の森で	Forest Before the Marsh	70	Normal	2350	10		Cole	180	Sapling Branch	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-2
湿地の強敵	Marsh Enemy	75	Normal	2400	10		Cole	200	Beehive	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-3
緊急依頼	Urgent Request	85	Normal	2600	10		Cole	240	Sapling Branch	3	Beehive	2					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-4
先輩たちとお散歩です	A Walk with my Senpai	120	Normal	3000	10		Cole	320	Princess Grass	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-5
再び湿地へ	Back to the Marsh	140	Normal	3200	10		Cole	360	Unknown Gemstone	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-6
夜の湿地の怪物	Nocturnal Marsh Monster	160	Normal	3500	10		Cole	500	Resentful Scream	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-7
王都周辺にて・３	By the Royal Capital - 3	220	Hard	3750	10		Cole	540	Uni	8	Taun	2	Tall Taun	4			#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-1
湿地の前の森で	Forest Before the Marsh	280	Hard	4100	10		Cole	580	Sapling Branch	8	Tall Taun	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-2
